English,Thai,Classifier,Type,,,,,
"then, also, too, consequently; connective particle",ก็,,"Adv, Conj",,,,,
consul,กงสุล,คน,N,,,,,
"law, statute, enactment, rule",กฎหมาย,ฉบับ,N,,,,,
"all right, OK, fine",ก็ได้,,POS,,,,,
buttocks,ก้น,ก้น,N,,,,,
frog,กบ,ตัว,N,,,,,
July,กรกฎาคม,เดือน,N,,,,,
cage,กรง,กรง,N,,,,,
"case, circumstance",กรณี,กรณี,N,,,,,
"department, bureau, regiment of soldiers",กรม,กรม,N,,,,,
scissors,กรรไกร,ด้าม,N,,,,,
crispy,กรอบ,,Adj,,,,,
"window pane, mirror",กระจก,บาน,N,,,,,
"to spread, expand, extend",กระจาย,,V,,,,,
"board, plank",กระดาน,แผ่น,N,,,,,
blackboard,กระดานดำ,แผ่น,N,,,,,
paper,กระดาษ,แผ่น,N,,,,,
cardboard,กระดาษแข็ง,แผ่น,N,,,,,
toilet paper,กระดาษชำระ,ม้วน,N,,,,,
bell,กระดิ่ง,"ใบ, กระดิ่ง, อัน",N,,,,,
button,กระดุม,เม็ด,N,,,,,
"bone, stingy, cheap",กระดูก,ชี่,"N, Adj",,,,,
to jump,กระโดด,,V,,,,,
rabbit,กระต่าย,ตัว,N,,,,,
"saucepan, frying pan",กระทะ,ใบ,N,,,,,
garlic,กระเทียม,กลีบ,N,,,,,
"tube shaped, classifier for guns, flasks",กระบอก,ใบ,"N, Class",,,,,
tile,กระเบื้อง,แผ่น,N,,,,,
"can, tin can",กระป๋อง,ใบ,N,,,,,
"bag, pocket, shopping bag, suitcase, purse",กระเป๋า,ใบ,N,,,,,
handbag,กระเป๋าถือ,ใบ,N,,,,,
wallet,กระเป๋าสตางค์,ใบ,N,,,,,
skirt,กระโปรง,ตัว,N,,,,,
cauliflower,กระหล่ำดอก,"หัว, ดอก",N,,,,,
gram (metric system) (loanword),กรัม,,Class ,,,,,
Bangkok,กรุงเทพฯ,,N,,,,,
"round, circular, large bottle whisky",กลม,,Adj,,,,,
banana,กล้วย,ใบ,N,,,,,
orchid,กล้วยไม้,ดอก,N,,,,,
bananas (fragrant),กล้วยหอม,ใบ,N,,,,,
drum,กลอง,ใบ,N,,,,,
"box, case, casket",กล่อง,ใบ,N,,,,,
camera,กล้องถ่ายรูป,กล้อง,N,,,,,
case or box (small) ,กล่องเล็กๆ - กลัก,กลัก,N ,,,,,
to return,กลับ,,V,,,,,
to go home,กลับบ้าน,,V,,,,,
go back,กลับไป,,V,,,,,
"come back, return",กลับมา,,V,,,,,
"to turn the car around, u-turn",กลับรถ,,V,,,,,
"to fear, scared, afraid of",กลัว,,Adj,,,,,
"dare to, be brave, bold",กล้า,,Adj,,,,,
"center, middle, intermediate, moderate",กลาง,,Adj,,,,,
night time (7 pm - 3 am),กลางคืน,,N,,,,,
middle of the month,กลางเดือน,,N,,,,,
during the day,กลางวัน,,N,,,,,
"daytime, by day, midday",กลางวัน,,N,,,,,
muscle,กล้าม,มัด,N,,,,,
"smell, odor",กลิ่น,,Adj,,,,,
to swallow,กลืน,,V,,,,,
"to worry, be depressed, distress",กลุ้มใจ,,Adj,,,,,
noodles,ก๋วยเตี๋ยว,เส้น,N,,,,,
"more, more than; till, until, by the time, as",กว่า,,Adj,,,,,
"to be wide, be broad, be vast",กว้าง,,Adj,,,,,
to sweep,กวาด,,V,,,,,
faucet,ก๊อกน้ำ,อัน,N,,,,,
"pile, heap, stack; classifier for pile of something",กอง,,Class,,,,,
to hug,กอด,,V,,,,,
"before, first",ก่อน,,Adv,,,,,
"classifier for things in lumps (lump, cake, piece)",ก้อน,ก้อน,Class,,,,,
before a place,ก่อนถึง  ,,Adv,,,,,
before,ก่อนที่,,Adv,,,,,
before meals,ก่อนอาหาร,,Adv,,,,,
photocopy,ก๊อปปี้ - สำเนา,"ฉบับ, ใบ",N,,,,,
golf,กอล์ฟ,,N,,,,,
"to build, construct",ก่อสร้าง,,V,,,,,
"to guess, estimate",กะ,,V,,,,,
coconut milk,กะทิ,,N,,,,,
basil,กะเพรา,ใบ,N,,,,,
cauliflower,กะหล่ำดอก,ดอก,N,,,,,
cabbage,กะหล่ำปลี,หัว,N,,,,,
to worry,กังวล,,Adj,,,,,
to bite,กัด,,V,,,,,
"together, one another, each other",กัน,,Adv,,,,,
September,กันยายน,,N,,,,,
"with, by, at, and",กับ,,"Prep, Conj",,,,,
food eaten while drinking (alcohol),กับแกล้ม,อย่าง,N,,,,,
food eaten with rice,กับข้าว,อย่าง,N,,,,,
side dishes eaten with rice,กับข้าว,อย่าง,N,,,,,
"crow, kettle, teapot; make a mark, make a sign",กา,"ตัว, ใบ",N,,,,,
"trousers, pants",กางเกง,ตัว,N,,,,,
shorts,กางเกงขาสั้น,ตัว,N,,,,,
underwear,กางเกงใน,ตัว,N,,,,,
teapot,กาน้ำชา,ใบ,N,,,,,
coffee,กาแฟ,"ช้อน, ถ้วย",N,,,,,
iced coffee,กาแฟเย็น,แก้ว,N,,,,,
hot coffee,กาแฟร้อน,แก้ว,N,,,,,
prefix + verb (eg: การงาน),การ,,Prefic,,,,,
homework,การบ้าน,,N,,,,,
"meeting, conference, session",การประชุม,,N,,,,,
education,การศึกษา,,N,,,,,
"to step, a step",ก้าว,,V,,,,,
"to progress, advance, forward",ก้าวหน้า,,Adj,,,,,
dispose of,กำจัด,,V,,,,,
kamnan (chief of the tambon),กำนัน,คน,N,,,,,
to procreate,กำเนิด,,V,,,,,
wall (enclosing a yard or city),กำแพง,แห่ง,N,,,,,
profit,กำไร,,N,,,,,
in the process of,กำลัง,,Adv,,,,,
"to be about to, on the point of",กำลังจะ,,Adv,,,,,
just right,กำลังพอดี,,Adj,,,,,
"to set, to appoint, specification",กำหนด,,"V, N",,,,,
"to eat, drink, consume, have",กิน,,V,,,,,
to have a meal,กินข้าว,,V,,,,,
to take medicine,กินยา,,V,,,,,
to snack (eat for fun),กินเล่น,,V,,,,,
to party,กินเลี้ยง ,,V,,,,,
to drink (liquor),กินเหล้า,,V,,,,,
kilometer (informal),กิโล , เมตร,N,,,,,
kilogram (metric system),กิโลกรัม,,N,,,,,
kilometer (metric system),กิโลเมตร,,N,,,,,
"how many, how much (question word)",กี่,,Adv,,,,,
how many years?,กี่ปี,,Adv,,,,,
what time,กี่โมง,,Adv,,,,,
